The 1006 Kyoiku kanji (school classes 1-6), taken from [wikipedia](https://en.wikipedia.org/wiki/Kyōiku_kanji)
競, level_school(replace):4
笑, level_school(replace):4
管, level_school(replace):4
節, level_school(replace):4
粉, level_school(replace):4
紀, level_school(replace):4
約, level_school(replace):4
結, level_school(replace):4
給, level_school(replace):4
続, level_school(replace):4
置, level_school(replace):4
老, level_school(replace):4
胃, level_school(replace):4
脈, level_school(replace):4
腸, level_school(replace):4
臣, level_school(replace):4
航, level_school(replace):4
良, level_school(replace):4
芸, level_school(replace):4
芽, level_school(replace):4
英, level_school(replace):4
菜, level_school(replace):4
街, level_school(replace):4
衣, level_school(replace):4
要, level_school(replace):4
覚, level_school(replace):4
観, level_school(replace):4
訓, level_school(replace):4
試, level_school(replace):4
説, level_school(replace):4
課, level_school(replace):4
議, level_school(replace):4
象, level_school(replace):4
貨, level_school(replace):4
貯, level_school(replace):4
費, level_school(replace):4
賞, level_school(replace):4
軍, level_school(replace):4
輪, level_school(replace):4
辞, level_school(replace):4
辺, level_school(replace):4
連, level_school(replace):4
達, level_school(replace):4
選, level_school(replace):4
郡, level_school(replace):4
量, level_school(replace):4
録, level_school(replace):4
鏡, level_school(replace):4
関, level_school(replace):4
陸, level_school(replace):4
隊, level_school(replace):4
静, level_school(replace):4
順, level_school(replace):4
願, level_school(replace):4
類, level_school(replace):4
飛, level_school(replace):4
飯, level_school(replace):4
養, level_school(replace):4
験, level_school(replace):4
久, level_school(replace):5
仏, level_school(replace):5
仮, level_school(replace):5
件, level_school(replace):5
任, level_school(replace):5
似, level_school(replace):5
余, level_school(replace):5
価, level_school(replace):5
保, level_school(replace):5
修, level_school(replace):5
俵, level_school(replace):5
個, level_school(replace):5
備, level_school(replace):5
像, level_school(replace):5
再, level_school(replace):5
刊, level_school(replace):5
判, level_school(replace):5
制, level_school(replace):5
券, level_school(replace):5
則, level_school(replace):5
効, level_school(replace):5
務, level_school(replace):5
勢, level_school(replace):5
厚, level_school(replace):5
句, level_school(replace):5
可, level_school(replace):5
営, level_school(replace):5
因, level_school(replace):5
団, level_school(replace):5
圧, level_school(replace):5
在, level_school(replace):5
均, level_school(replace):5
基, level_school(replace):5
報, level_school(replace):5
境, level_school(replace):5
墓, level_school(replace):5
増, level_school(replace):5
夢, level_school(replace):5
妻, level_school(replace):5
婦, level_school(replace):5
容, level_school(replace):5
寄, level_school(replace):5
富, level_school(replace):5
導, level_school(replace):5
居, level_school(replace):5
属, level_school(replace):5
布, level_school(replace):5
師, level_school(replace):5
常, level_school(replace):5
幹, level_school(replace):5
序, level_school(replace):5
弁, level_school(replace):5
張, level_school(replace):5
往, level_school(replace):5
復, level_school(replace):5
徳, level_school(replace):5
志, level_school(replace):5
応, level_school(replace):5
快, level_school(replace):5
性, level_school(replace):5
恩, level_school(replace):5
情, level_school(replace):5
態, level_school(replace):5
慣, level_school(replace):5
承, level_school(replace):5
技, level_school(replace):5
招, level_school(replace):5
授, level_school(replace):5
採, level_school(replace):5
接, level_school(replace):5
提, level_school(replace):5
損, level_school(replace):5
支, level_school(replace):5
政, level_school(replace):5
故, level_school(replace):5
敵, level_school(replace):5
断, level_school(replace):5
旧, level_school(replace):5
易, level_school(replace):5
暴, level_school(replace):5
条, level_school(replace):5
枝, level_school(replace):5
